0,34,m
1,28,m
2,18,m
3,84,h
4,145,h
5,139,h
6,15,m
7,9,m
8,48,h
9,20,m
10,16,m
11,14,m
12,16,m
13,15,m
14,7,m
15,165,h
16,28,m
17,14,m
18,22,m
19,118,h
20,30,m
21,23,m
22,49,h
23,112,h
24,143578,h
25,372,h
26,14,m
27,20,m
28,9,m
29,15,m
30,214,h
31,10,m
32,130,h
33,19518,h
34,191,h
35,33,m
36,22,m
37,112,h
38,35,m
39,15,m
40,59,h
41,16,m
42,18,m
43,97,h
44,20,m
45,36,h
46,25,m
47,17,m
48,53,h
49,16,m
50,104,h
51,39,h
52,32,m
53,108,h
54,19,m
55,11,m
56,5,m
57,78,h
58,24244,h
59,283,h
60,47,h
61,14,m
62,36,h
63,20,m
64,21,m
65,27,m
66,32,m
67,40,h
68,86,h
69,204,h
70,126,h
71,39,h
72,19,m
73,67,h
74,59,h
75,259,h
76,40,h
77,143578,h
78,60,h
79,44,h
80,19,m
81,59,h
82,10,m
83,155,h
84,146,h
85,29,m
86,4,m
87,5,m
88,75,h
89,18,m
90,14,m
91,16,m
92,285,h
93,80,h
94,91,h
95,46,h
96,22,m
97,1618,h
98,20,m
99,49,h
100,67,h
101,27,m
102,18,m
103,15,m
104,385,h
105,461,h
106,308,h
107,201,h
108,71,h
